text@est1996f	@est1996f	3.83	4.22	угу //
text@est1996f	@est1996f	13.392	25.1	с этим можно как бы / бороться / но очень сложно / и / э можно бороться как бы э  в к... более короткое время / то есть / неизвестно / у кого насколько это растянется //
text@est1996f	@est1996f	25.111	36.25	то есть / это может быть на / только летом // а к сезону ты уже будешь как бы опять а / перестроишься / поймёшь как бы / какие у тебя новые нюансы / и всё / и ты опять будешь в топе //
text@est1996f	@est1996f	36.275	41.11	то есть / но в принципе всё равно / перестроение как бы в девушку / оно должно быть //
text@est1996f	@est1996f	41.39	50.27	просто / если у тебя хорошая техника / высота останется / то / ты можешь / не так болезненно как бы / с этим м мм справляться //
text@est1996f	@est1996f	50.27	53.96	то есть ты будешь выступать / будешь выступать хорошо / просто тебе будет немножко тяжелее //
text@est1996f	@est1996f	59.305	63.015	просто / тебе становится / тяжелее всё делать // вот и всё //
text@est1996f	@est1996f	64.8	71.55	 и / ну и стабильность естест... естественно хуже становится / потому что не так легко теперь всю программу катать //
text@est1996f	@est1996f	71.555	74.765	и сложно уже становится после там двух трёх элементов //
text@est1996f	@est1996f	74.775	80.15	потом тебе нужно ещё собирать / и поэтому появляется нестабильность / появляются ошибки //
text@est1996f	@est1996f	80.187	89.61	тем самым ты себе загоняешь в голову / блин надо / что-то или улучшить / или поменять / или что надо сделать / чтоб быть стабильным / и ну и там всё короче ломается / начинает всё / пипец //
text@est1996f	@est1996f	92.43	100.93	ну / да / у кого как / у меня такой скачок был плавный но / мм в течение там / полугода наверно //
text@est1996f	@est1996f	100.93	110.01	поэтому / но так как у меня высота прыжка была хорошая всегда я э могла делать элементы просто они вот как раз стабильность /
text@est1996f	@est1996f	110.39	115.72	пропала // некоторые теряют технику вообще / то есть намного тяжелее им становится //
text@est1996f	@est1996f	115.96	121.31	нек... / но в основном это вот именно э / стабильность и перестройка как бы головы //
text@est1996f	@est1996f	121.33	127.53	в... там / у каждого по-разному / но в основном там / голова тоже влияет на в... весь этот процесс //
text@est1996f	@est1996f	128.92	133.42	больше как-то мыслей / больше ответ... / больше ответственности / больше /
text@est1996f	@est1996f	133.675	137.475	просто думать начинаешь больше / то есть когда ты всё равно ребёнок / ты /
text@est1996f	@est1996f	137.49	143.09	тебе сказали делай / ты идёшь делать / а / когда ты уже начинаешь соображать своей головой / то /
text@est1996f	@est1996f	143.115	145.005	будешь делать / ага // но /
text@est1996f	@est1996f	145.015	154.665	аа / верно ли / ну то есть нужно ли мне это делать / не нужно / а как это сделать / я хочу сделать это хорошо / и ты начинаешь анализировать / что сделать / что /
text@est1996f	@est1996f	154.695	163.11	тебе / чтобы сделать это ещё лучше / или просто сделать / и короче там вот такие вообще могут быть / ээ вопросы //
text@est1996f	@est1996f	164.957	174.51	нет / у меня был единожды / просто второй у меня был / не пубертат а просто вот / э тоже э / с башкой какая-то фигня полная получилась //
text@est1996f	@est1996f	174.748	180.698	я до сих пор и / Алексей Николаевич до сих пор не может / понять / что было это в моей карьере вообще //
text@est1996f	@est1996f	180.708	185.42	после / вот хорошего сезона / в начале очень тяжело в сезон входила / потому что я /
text@est1996f	@est1996f	185.999	188.21	аа потерялась в ощущениях вообще /
text@est1996f	@est1996f	188.54	190.02	вообще ничего не понимала //
text@est1996f	@est1996f	191.36	195.1	я не знаю / я говорю / Алексей Николаевич тоже не может ответить на этот вопрос //
text@est1996f	@est1996f	195.245	200.155	сколько он ни раздумывал / он говорит / я до сих пор не понимаю / что с тобой тогда было / ну то есть /
text@est1996f	@est1996f	200.155	203.285	я была чемпионкой мира / я делала всё вообще /
text@est1996f	@est1996f	203.665	207.345	на изи // и потом вышла на лёд / и поняла / что как бы /
text@est1996f	@est1996f	207.659	220.699	во мне столько неуверенности к... / откуда-то пришло / и я просто м ну как-то / у меня разладилась техника / просто она разладилась / и вот мы всё межсезонье / мы нарабатывали / и нарабатывали / и и в итоге как к... ну //
text@est1996f	@est1996f	221.134	222.7	кое-как я вот восстановилась //
text@est1996f	@est1996f	227.849	238.82	но / это не трагедия // э с... первая / да / болезненная / то что она была в Сочи / и я за год до этого была чемпионкой России / то есть я была одна из главных претенденток /
text@est1996f	@est1996f	238.869	242.809	именно во время я не осознавала / а потом уже поняла / что блин /
text@est1996f	@est1996f	242.944	245.034	мм идиотка просто / что //
text@est1996f	@est1996f	245.094	247.374	как бы себя так загнала / что не смогла /
text@est1996f	@est1996f	247.549	251.78	воплотить / так сказать / ну не мечту / а просто вот свои желания / да //
text@est1996f	@est1996f	251.999	257.139	олимпиада в Пхёнчхане / она спокойнее прошла / потому что я /
